"","order","ngram","freq","prop"
"1",1,"in the",1266,0.255190485789155
"2",2,"will be",248,0.254620123203285
"3",3,"of the",1183,0.204388389771942
"4",4,"to be",471,0.0572783655600146
"5",5,"has been",133,0.174540682414698
"6",6,"if you",232,0.267281105990783
"7",7,"it was",246,0.0894870862131684
"8",8,"more than",103,0.139566395663957
"9",9,"thanks for",181,0.497252747252747
"10",10,"right now",87,0.255131964809384
"11",11,"would be",134,0.221487603305785
"12",12,"last night",72,0.182741116751269
"13",13,"going to",244,0.622448979591837
"14",14,"i think",183,0.0354582445262546
"15",15,"have been",119,0.0745614035087719
"16",16,"on the",559,0.222001588562351
"17",17,"so much",100,0.0798084596967279
"18",18,"i love",192,0.0372020926177097
"19",19,"i have",278,0.0538655299360589
"20",20,"as well",99,0.0699152542372881
"21",21,"<> and",1748,0.0501017512683081
"22",22,"the <>",2968,0.21466801677998
"23",23,"can't wait",56,0.21455938697318
"24",24,"i don't",177,0.0342956791319512
"25",25,"for the",649,0.186977816191299
"26",26,"i am",212,0.0410773105987212
"27",27,"want to",209,0.59375
"28",28,"one of",209,0.257389162561576
"29",29,"high school",47,0.343065693430657
"30",30,"to get",230,0.0279703271312173
"31",31,"to see",196,0.0238355831205156
"32",32,"he was",141,0.114914425427873
"33",33,"at the",419,0.235261089275688
"34",34,"years ago",45,0.165441176470588
"35",35,"looking forward",45,0.286624203821656
"36",36,"should be",83,0.308550185873606
"37",37,"you can",135,0.0421875
"38",38,"we are",121,0.0983739837398374
"39",39,"last year",51,0.129441624365482
"40",40,"need to",155,0.474006116207951
"41",41,"it is",224,0.0814841760640233
"42",42,"don't know",62,0.11460258780037
"43",43,"i was",232,0.0449525285797326
"44",44,"thank you",136,0.819277108433735
"45",45,"they were",71,0.0747368421052632
"46",46,"he said",91,0.0741646291768541
"47",47,"happy birthday",37,0.154166666666667
"48",48,"this is",172,0.108517350157729
"49",49,"they are",101,0.106315789473684
"50",50,"feel like",52,0.275132275132275
"51",51,"follow me",59,0.247899159663866
"52",52,"a little",124,0.017337807606264
"53",53,"next week",36,0.146341463414634
"54",54,"i know",131,0.0253826777756249
"55",55,"do you",115,0.148387096774194
"56",56,"check out",46,0.418181818181818
"57",57,"a great",131,0.0183165548098434
"58",58,"those who",47,0.194214876033058
"59",59,"social media",24,0.338028169014085
"60",60,"as a",224,0.15819209039548
"61",61,"a good",152,0.0212527964205817
"62",62,"from the",272,0.241777777777778
"63",63,"lot of",107,0.633136094674556
"64",64,"so many",56,0.0446927374301676
"65",65,"each other",32,0.220689655172414
"66",66,"last week",38,0.0964467005076142
"67",67,"you know",99,0.0309375
"68",68,"i've been",39,0.188405797101449
"69",69,"too much",39,0.103723404255319
"70",70,"out of",155,0.172991071428571
"71",71,"there is",103,0.161949685534591
"72",72,"this year",63,0.0397476340694006
"73",73,"but i",166,0.111859838274933
"74",74,"<> <>",5129,0.147009085958325
"75",75,"make sure",35,0.0872817955112219
"76",76,"you are",143,0.0446875
"77",77,"to make",129,0.0156877052170741
"78",78,"there are",72,0.113207547169811
"79",79,"so far",45,0.0359138068635275
"80",80,"the best",147,0.0106321423405179
"81",81,"have a",223,0.139724310776942
"82",82,"know what",54,0.0990825688073395
"83",83,"we have",97,0.0788617886178862
"84",84,"such as",48,0.262295081967213
"85",85,"looks like",40,0.547945205479452
"86",86,"when you",103,0.136968085106383
"87",87,"let me",46,0.258426966292135
"88",88,"i had",126,0.024413873280372
"89",89,"can be",79,0.106756756756757
"90",90,"to do",159,0.0193360087559285
"91",91,"this week",52,0.032807570977918
"92",92,"a few",106,0.014821029082774
"93",93,"would have",70,0.115702479338843
"94",94,"i can't",82,0.0158883937221469
"95",95,"this morning",45,0.028391167192429
"96",96,"part of",91,0.684210526315789
"97",97,"does not",42,0.228260869565217
"98",98,"you have",136,0.0425
"99",99,"we can",66,0.0536585365853659
"100",100,"how much",39,0.0712979890310786
"101",101,"if you're",39,0.0449308755760369
"102",102,"their own",32,0.0569395017793594
"103",103,"even though",26,0.0841423948220065
"104",104,"could be",56,0.168674698795181
"105",105,"i just",135,0.0261577213718272
"106",106,"look at",47,0.255434782608696
"107",107,"be able",43,0.0256563245823389
"108",108,"united states",19,0.59375
"109",109,"to go",121,0.0147148242733795
"110",110,"a lot",149,0.0208333333333333
"111",111,"better than",29,0.125541125541126
"112",112,"good morning",31,0.0446685878962536
"113",113,"this weekend",40,0.0252365930599369
"114",114,"a <>",1462,0.204418344519016
"115",115,"away from",37,0.23125
"116",116,"had a",133,0.19136690647482
"117",117,"a new",126,0.0176174496644295
"118",118,"may be",46,0.197424892703863
"119",119,"i want",85,0.0164696764192986
"120",120,"good luck",29,0.0417867435158501
"121",121,"talking about",31,0.449275362318841
"122",122,"i can",113,0.0218949815927146
"123",123,"she said",49,0.0812603648424544
"124",124,"the first",133,0.00961955735570664
"125",125,"don't want",35,0.0646950092421442
"126",126,"rather than",23,0.46
"127",127,"i'm going",39,0.053206002728513
"128",128,"she was",64,0.106135986733002
"129",129,"did not",44,0.128279883381924
"130",130,"anyone else",16,0.129032258064516
"131",131,"join us",22,0.372881355932203
"132",132,"i will",126,0.024413873280372
"133",133,"people who",40,0.0873362445414847
"134",134,"with a",220,0.107003891050584
"135",135,"well as",45,0.127478753541076
