"","word","freq","start","all","real"
"1","time","0.193492155723417","1","8","7"
"2","half","0.0325392213829169","9","1","1"
"3","day","0.0290528762347472","10","1","1"
"4","to","0.0273097036606624","11","0","0"
"5","round","0.0261475886112725","11","1","1"
"6","place","0.0238233585124927","12","0","0"
"7","of","0.0238233585124927","12","1","1"
"8","quarter","0.0232423009877978","13","1","1"
"9","one","0.0220801859384079","14","1","1"
"10","two","0.0197559558396281","15","1","1"
"11","amendment","0.00464846019755956","16","0","0"
"12","and","0.00929692039511912","16","0","0"
"13","book","0.00871586287042417","16","0","0"
"14","episode","0.0052295177222545","16","0","0"
"15","few","0.00871586287042417","16","0","0"
"16","four","0.00639163277164439","16","0","0"
"17","game","0.00755374782103428","16","0","0"
"18","in","0.010459035444509","16","0","0"
"19","inning","0.00639163277164439","16","0","0"
"20","part","0.00464846019755956","16","1","1"
"21","person","0.0052295177222545","17","0","0"
"22","six","0.00464846019755956","17","0","0"
"23","step","0.0116211504938989","17","0","0"
"24","thing","0.0185938407902382","17","1","1"
"25","three","0.0151074956420686","18","0","0"
"26","week","0.011040092969204","18","1","1"
"27","year","0.011040092969204","19","0","0"
"28","<>","0.0331202789076119","19","1","1"
"29","time","0.10211027910143","20","3","2"
"30","thing","0.0660313138189244","23","0","0"
"31","way","0.0456092579986385","23","0","0"
"32","as","0.0401633764465623","23","1","1"
"33","day","0.0149761742682097","24","0","0"
"34","name","0.0108917631041525","24","0","0"
"35","for","0.0108917631041525","24","0","0"
"36","period","0.00884955752212389","24","0","0"
"37","in","0.00748808713410483","24","0","0"
"38","old","0.00748808713410483","24","0","0"
"39","amount","0.00612661674608577","24","1","1"
"40","kind","0.00748808713410483","25","1","1"
"41","level","0.0068073519400953","26","0","0"
"42","number","0.0068073519400953","26","0","0"
"43","people","0.00612661674608577","26","0","0"
"44","problem","0.0068073519400953","26","0","0"
"45","room","0.0068073519400953","26","0","0"
"46","size","0.00544588155207624","26","0","0"
"47","things","0.00544588155207624","26","0","0"
"48","<>","0.0251872021783526","26","0","0"
"49","of","0.0548780487804878","26","1","1"
"50","way","0.0434451219512195","27","1","1"
"51","thing","0.0373475609756098","28","1","1"
"52","part","0.0327743902439024","29","1","1"
"53","in","0.0182926829268293","30","1","1"
"54","and","0.0152439024390244","31","0","0"
"55","time","0.0129573170731707","31","0","0"
"56","i","0.0129573170731707","31","0","0"
"57","day","0.0106707317073171","31","1","1"
"58","place","0.00990853658536585","32","1","1"
"59","but","0.00914634146341463","33","0","0"
"60","for","0.00762195121951219","33","0","0"
"61","kind","0.00685975609756098","33","0","0"
"62","movie","0.00609756097560976","33","0","0"
"63","team","0.00685975609756098","33","0","0"
"64","to","0.00685975609756098","33","0","0"
"65","we","0.00685975609756098","33","1","1"
"66","<>","0.0373475609756098","34","0","0"
"67","and","0.0580832526621491","34","0","0"
"68","is","0.0513068731848984","34","0","0"
"69","to","0.0338818973862536","34","0","0"
"70","of","0.031945788964182","34","0","0"
"71","i","0.0183930300096805","34","0","0"
"72","in","0.0183930300096805","34","0","0"
"73","that","0.0183930300096805","34","0","0"
"74","but","0.0154888673765731","34","0","0"
"75","the","0.0125847047434656","34","0","0"
"76","as","0.0125847047434656","34","0","0"
"77","a","0.00871248789932236","34","0","0"
"78","for","0.00968054211035818","34","0","0"
"79","has","0.00774443368828654","34","0","0"
"80","he","0.00871248789932236","34","0","0"
"81","needs","0.00968054211035818","34","0","0"
"82","series","0.010648596321394","34","0","0"
"83","trade","0.010648596321394","34","1","1"
"84","will","0.00871248789932236","35","0","0"
"85","with","0.00774443368828654","35","0","0"
"86","would","0.00774443368828654","35","0","0"
"87","<>","0.0203291384317522","35","0","0"
"88","york","0.0864077669902913","35","3","2"
"89","jersey","0.0388349514563107","38","0","0"
"90","year","0.0330097087378641","38","0","0"
"91","rules","0.0116504854368932","38","0","0"
"92","testament","0.0116504854368932","38","0","0"
"93","england","0.0116504854368932","38","1","1"
"94","ipad","0.0106796116504854","39","0","0"
"95","law","0.00970873786407767","39","0","0"
"96","yorker","0.00776699029126214","39","0","0"
"97","album","0.00776699029126214","39","0","0"
"98","orleans","0.00776699029126214","39","0","0"
"99","<>","0.0902912621359223","39","1","0"
"100","important","0.0626262626262626","40","1","1"
"101","part","0.0373737373737374","41","0","0"
"102","of","0.0262626262626263","41","0","0"
"103","recent","0.0212121212121212","41","0","0"
"104","popular","0.0212121212121212","41","0","0"
"105","amazing","0.0191919191919192","41","0","0"
"106","famous","0.0181818181818182","41","0","0"
"107","beautiful","0.0171717171717172","41","0","0"
"108","powerful","0.0131313131313131","41","0","0"
"109","interesting","0.0121212121212121","41","0","0"
"110","common","0.00909090909090909","41","0","0"
"111","effective","0.00909090909090909","41","0","0"
"112","exciting","0.0101010101010101","41","0","0"
"113","serious","0.00808080808080808","41","0","0"
"114","significant","0.0101010101010101","41","0","0"
"115","<>","0.0565656565656566","41","0","0"
"116","to","0.0968443960826986","41","3","2"
"117","i","0.0859630032644178","44","0","0"
"118","the","0.0554951033732318","44","0","0"
"119","you","0.0467899891186072","44","0","0"
"120","it","0.043525571273123","44","1","1"
"121","of","0.0424374319912949","45","0","0"
"122","he","0.0391730141458107","45","0","0"
"123","they","0.0326441784548422","45","0","0"
"124","we","0.0261153427638738","45","0","0"
"125","home","0.0217627856365615","45","0","0"
"126","and","0.00979325353645267","45","0","0"
"127","back","0.0217627856365615","45","0","0"
"128","down","0.0163220892274211","45","0","0"
"129","for","0.0163220892274211","45","0","0"
"130","from","0.00870511425462459","45","0","0"
"131","his","0.00870511425462459","45","0","0"
"132","in","0.0217627856365615","45","1","1"
"133","out","0.0108813928182807","46","0","0"
"134","she","0.00870511425462459","46","0","0"
"135","that","0.0174102285092492","46","0","0"
"136","through","0.014145810663765","46","0","0"
"137","with","0.00870511425462459","46","0","0"
"138","<>","0.0195865070729053","46","0","0"
"139","to","0.0981308411214953","46","0","0"
"140","i","0.0782710280373832","46","1","1"
"141","of","0.058411214953271","47","1","1"
"142","and","0.044392523364486","48","0","0"
"143","the","0.0280373831775701","48","0","0"
"144","we","0.0257009345794393","48","0","0"
"145","he","0.0233644859813084","48","0","0"
"146","it","0.022196261682243","48","0","0"
"147","they","0.0198598130841121","48","0","0"
"148","that","0.0198598130841121","48","0","0"
"149","being","0.0128504672897196","48","0","0"
"150","but","0.0198598130841121","48","0","0"
"151","in","0.0128504672897196","48","0","0"
"152","is","0.00934579439252336","48","0","0"
"153","she","0.00934579439252336","48","0","0"
"154","so","0.0105140186915888","48","0","0"
"155","this","0.0128504672897196","48","0","0"
"156","when","0.0116822429906542","48","0","0"
"157","you","0.0105140186915888","48","0","0"
"158","<>","0.0198598130841121","48","0","0"
"159","day","0.0876979293544458","48","0","0"
"160","few","0.0669914738124239","48","3","3"
"161","two","0.0475030450669915","51","1","1"
"162","morning","0.0377588306942753","52","0","0"
"163","time","0.0353227771010962","52","0","0"
"164","one","0.0292326431181486","52","0","0"
"165","couple","0.0267965895249695","52","1","1"
"166","level","0.023142509135201","53","0","0"
"167","step","0.0219244823386114","53","0","0"
"168","three","0.0194884287454324","53","0","0"
"169","big","0.0146163215590743","53","0","0"
"170","days","0.0133982947624848","53","0","0"
"171","generation","0.0194884287454324","53","1","1"
"172","several","0.0097442143727162","54","0","0"
"173","week","0.0146163215590743","54","0","0"
"174","weeks","0.0097442143727162","54","0","0"
"175","year","0.0194884287454324","54","0","0"
"176","years","0.0146163215590743","54","0","0"
"177","<>","0.0243605359317905","54","0","0"
"178","time","0.0893081761006289","54","1","1"
"179","few","0.0616352201257862","55","4","4"
"180","years","0.0490566037735849","59","0","0"
"181","two","0.0477987421383648","59","1","1"
"182","day","0.0389937106918239","60","2","2"
"183","couple","0.0264150943396226","62","1","1"
"184","year","0.0264150943396226","63","0","0"
"185","three","0.0251572327044025","63","0","0"
"186","minute","0.0226415094339623","63","0","0"
"187","of","0.0226415094339623","63","0","0"
"188","days","0.010062893081761","63","0","0"
"189","decade","0.0138364779874214","63","0","0"
"190","five","0.0113207547169811","63","0","0"
"191","month","0.0138364779874214","63","0","0"
"192","months","0.0176100628930818","63","0","0"
"193","one","0.0176100628930818","63","0","0"
"194","six","0.010062893081761","63","0","0"
"195","thing","0.0188679245283019","63","0","0"
"196","week","0.020125786163522","63","0","0"
"197","<>","0.0264150943396226","63","0","0"
"198","love","0.166666666666667","63","0","0"
"199","to","0.840909090909091","63","0","0"
"200","of","0.0909090909090909","63","0","0"
"201","of","0.9375","63","0","0"
"202","awards","0.473684210526316","63","0","0"
"203","of","0.321428571428571","63","0","0"
"204","of","0.8","63","0","0"
"205","of","0.810126582278481","63","1","1"
"206","of","0.625","64","0","0"
"207","and","0.0958083832335329","64","0","0"
"208","force","0.0598802395209581","64","0","0"
"209","dream","0.0994764397905759","64","0","0"
"210","people","0.0732984293193717","64","0","0"
"211","of","0.657142857142857","64","0","0"
"212","the","0.105263157894737","64","0","0"
"213","of","0.777777777777778","64","1","1"
"214","<>","0.105263157894737","65","0","0"
"215","to","0.257142857142857","65","0","0"
"216","is","0.20952380952381","65","0","0"
"217","to","0.363636363636364","65","0","0"
"218","of","0.785714285714286","65","0","0"
"219","of","0.363636363636364","65","0","0"
"220","of","0.0718954248366013","65","0","0"
"221","and","0.0522875816993464","65","0","0"
"222","of","0.846153846153846","65","0","0"
"223","of","0.569230769230769","65","0","0"
"224","press","0.896551724137931","65","0","0"
"225","of","0.476190476190476","65","0","0"
"226","general's","0.4","65","1","1"
"227","and","0.1","66","0","0"
"228","of","0.240506329113924","66","1","1"
"229","to","0.310344827586207","67","0","0"
"230","<>","0.0909090909090909","67","0","0"
"231","moment","0.666666666666667","67","1","1"
"232","is","0.102564102564103","68","0","0"
"233","of","0.442477876106195","68","3","3"
"234","door","0.0398230088495575","71","0","0"
"235","guys","0.192771084337349","71","0","0"
"236","news","0.0963855421686747","71","0","0"
"237","of","0.434782608695652","71","0","0"
"238","in","0.113861386138614","71","0","0"
"239","and","0.0643564356435644","71","0","0"
"240","to","0.0544554455445545","71","0","0"
"241","<>","0.0396039603960396","71","0","0"
"242","of","0.1125","71","0","0"
"243","and","0.117021276595745","71","0","0"
"244","of","0.384615384615385","71","1","1"
"245","of","0.6","72","0","0"
"246","of","0.65625","72","0","0"
"247","of","0.25","72","0","0"
"248","area","0.414634146341463","72","0","0"
"249","and","0.0882352941176471","72","0","0"
"250","boys","1","72","0","0"
"251","of","0.675675675675676","72","0","0"
"252","and","0.156862745098039","72","0","0"
"253","of","0.520547945205479","72","2","2"
"254","and","0.0616438356164384","74","0","0"
"255","that","0.923076923076923","74","0","0"
"256","of","0.764705882352941","74","0","0"
"257","of","0.567567567567568","74","0","0"
"258","east","0.0521472392638037","74","0","0"
"259","screen","0.0368098159509202","74","0","0"
"260","bang","0.0368098159509202","74","0","0"
"261","one","0.0276073619631902","74","0","0"
"262","picture","0.0276073619631902","74","0","0"
"263","ten","0.0276073619631902","74","0","0"
"264","game","0.0245398773006135","74","0","0"
"265","day","0.0245398773006135","74","0","0"
"266","<>","0.0613496932515337","74","0","0"
"267","<>","0.0752688172043011","74","0","0"
"268","of","0.590909090909091","74","0","0"
"269","and","0.0842105263157895","74","0","0"
"270","have","0.0967741935483871","74","0","0"
"271","of","0.639175257731959","74","1","0"
"272","<>","0.114285714285714","75","0","0"
"273","of","0.196078431372549","75","0","0"
"274","of","0.227272727272727","75","0","0"
"275","and","0.1","75","0","0"
"276","and","0.0838709677419355","75","0","0"
"277","of","0.0645161290322581","75","0","0"
"278","is","0.0612903225806452","75","0","0"
"279","in","0.0354838709677419","75","0","0"
"280","was","0.032258064516129","75","0","0"
"281","i","0.032258064516129","75","0","0"
"282","<>","0.0290322580645161","75","0","0"
"283","of","0.437125748502994","75","1","1"
"284","line","0.0838323353293413","76","1","1"
"285","office","0.154929577464789","77","0","0"
"286","was","0.135135135135135","77","0","0"
"287","side","0.34375","77","0","0"
"288","of","1","77","0","0"
"289","and","0.127118644067797","77","0","0"
"290","of","0.904761904761905","77","0","0"
"291","of","0.785714285714286","77","0","0"
"292","of","0.114583333333333","77","0","0"
"293","and","0.117647058823529","77","0","0"
"294","is","0.0427807486631016","77","0","0"
"295","of","0.134920634920635","77","0","0"
"296","for","0.0436507936507936","77","0","0"
"297","that","0.0396825396825397","77","0","0"
"298","is","0.0357142857142857","77","0","0"
"299","and","0.0317460317460317","77","0","0"
"300","church","0.423076923076923","77","0","0"
"301","of","0.636363636363636","77","1","1"
"302","of","0.389312977099237","78","1","1"
"303","for","0.183206106870229","79","0","0"
"304","for","0.647058823529412","79","1","1"
"305","of","0.48","80","0","0"
"306","of","0.75","80","1","1"
"307","is","0.175","81","0","0"
"308","to","0.65979381443299","81","0","0"
"309","of","0.571428571428571","81","0","0"
"310","of","0.25531914893617","81","0","0"
"311","are","0.166666666666667","81","0","0"
"312","and","0.151515151515152","81","0","0"
"313","of","0.177777777777778","81","0","0"
"314","were","0.0888888888888889","81","0","0"
"315","of","0.371428571428571","81","0","0"
"316","and","0.129310344827586","81","0","0"
"317","is","0.0689655172413793","81","0","0"
"318","of","0.380952380952381","81","0","0"
"319","of","0.108778625954198","81","1","0"
"320","and","0.0515267175572519","82","0","0"
"321","council","0.0458015267175573","82","0","0"
"322","is","0.0438931297709924","82","0","0"
"323","to","0.0381679389312977","82","0","0"
"324","has","0.0324427480916031","82","0","0"
"325","will","0.0229007633587786","82","0","0"
"326","had","0.0152671755725191","82","0","0"
"327","in","0.0152671755725191","82","0","0"
"328","<>","0.0152671755725191","82","0","0"
"329","<>","0.0964912280701754","82","0","0"
"330","war","0.485714285714286","82","0","0"
"331","rights","0.257142857142857","82","0","0"
"332","of","0.211267605633803","82","0","0"
"333","of","0.384615384615385","82","0","0"
"334","guard","0.346153846153846","82","0","0"
"335","of","0.846153846153846","82","1","1"
"336","of","0.422222222222222","83","0","0"
"337","river","0.444444444444444","83","0","0"
"338","of","0.818181818181818","83","0","0"
"339","of","0.571428571428571","83","0","0"
"340","weeks","0.2","83","0","0"
"341","months","0.163636363636364","83","0","0"
"342","and","0.0720720720720721","83","0","0"
"343","has","0.103975535168196","83","0","0"
"344","said","0.055045871559633","83","0","0"
"345","to","0.0397553516819572","83","0","0"
"346","and","0.036697247706422","83","0","0"
"347","had","0.0275229357798165","83","0","0"
"348","will","0.0275229357798165","83","0","0"
"349","also","0.0244648318042813","83","0","0"
"350","of","0.714285714285714","83","1","0"
"351","that","0.37037037037037","84","0","0"
"352","of","0.458333333333333","84","0","0"
"353","of","0.294117647058824","84","0","0"
"354","of","0.833333333333333","84","0","0"
"355","of","0.88","84","0","0"
"356","of","0.4","84","0","0"
"357","of","0.242990654205607","84","0","0"
"358","and","0.0841121495327103","84","0","0"
"359","of","0.575757575757576","84","1","1"
"360","to","0.101010101010101","85","0","0"
"361","of","0.5","85","0","0"
"362","and","0.0751633986928105","85","0","0"
"363","is","0.0392156862745098","85","0","0"
"364","to","0.0326797385620915","85","0","0"
"365","<>","0.0294117647058824","85","0","0"
"366","and","0.0680272108843537","85","0","0"
"367","council","0.054421768707483","85","0","0"
"368","to","0.727272727272727","85","0","0"
"369","of","0.476744186046512","85","1","1"
"370","and","0.0601503759398496","86","0","0"
"371","of","0.268292682926829","86","0","0"
"372","of","0.888888888888889","86","0","0"
"373","of","0.444444444444444","86","0","0"
"374","floor","0.285714285714286","86","0","0"
"375","side","0.123893805309735","86","0","0"
"376","knight","0.079646017699115","86","0","0"
"377","of","0.6875","86","0","0"
"378","i","0.0584878744650499","86","0","0"
"379","of","0.0499286733238231","86","1","1"
"380","before","0.0456490727532097","87","0","0"
"381","and","0.0385164051355207","87","0","0"
"382","after","0.0370898716119829","87","0","0"
"383","when","0.0228245363766049","87","0","0"
"384","we","0.0228245363766049","87","0","0"
"385","the","0.021398002853067","87","0","0"
"386","is","0.021398002853067","87","0","0"
"387","off","0.0199714693295292","87","0","0"
"388","at","0.0114122681883024","87","0","0"
"389","he","0.0128388017118402","87","0","0"
"390","in","0.0128388017118402","87","0","0"
"391","it","0.0128388017118402","87","0","0"
"392","my","0.0114122681883024","87","0","0"
"393","she","0.0128388017118402","87","0","0"
"394","that","0.0185449358059914","87","0","0"
"395","to","0.0156918687589158","87","0","0"
"396","was","0.0114122681883024","87","0","0"
"397","with","0.0185449358059914","87","0","0"
"398","you","0.0128388017118402","87","0","0"
"399","<>","0.0328102710413695","87","0","0"
"400","of","0.232323232323232","87","0","0"
"401","when","0.161616161616162","87","0","0"
"402","of","0.539325842696629","87","1","1"
"403","penalty","0.168539325842697","88","0","0"
"404","of","0.526315789473684","88","0","0"
"405","ceiling","0.25","88","0","0"
"406","to","0.300970873786408","88","0","0"
"407","was","0.0970873786407767","88","0","0"
"408","of","0.785714285714286","88","0","0"
"409","party","0.3125","88","0","0"
"410","of","0.487179487179487","88","0","0"
"411","of","0.8","88","0","0"
"412","team","0.210526315789474","88","0","0"
"413","to","0.571428571428571","88","0","0"
"414","of","0.155172413793103","88","0","0"
"415","of","0.575","88","0","0"
"416","between","0.423423423423423","88","1","1"
"417","in","0.162162162162162","89","1","1"
"418","room","0.692307692307692","90","0","0"
"419","of","0.678571428571429","90","0","0"
"420","of","0.516129032258065","90","0","0"
"421","list","0.846153846153846","90","0","0"
"422","of","0.0948275862068965","90","1","1"
"423","to","0.115942028985507","91","0","0"
"424","and","0.0821256038647343","91","0","0"
"425","for","0.0434782608695652","91","0","0"
"426","jones","0.333333333333333","91","1","1"
"427","of","0.210526315789474","92","0","0"
"428","coast","0.222222222222222","92","0","0"
"429","side","0.133333333333333","92","1","1"
"430","conference","0.378378378378378","93","0","0"
"431","downturn","0.173913043478261","93","0","0"
"432","of","0.727272727272727","93","0","0"
"433","is","0.153153153153153","93","0","0"
"434","and","0.0990990990990991","93","0","0"
"435","of","0.467741935483871","93","1","1"
"436","of","0.484848484848485","94","0","0"
"437","of","0.888888888888889","94","0","0"
"438","of","0.851851851851852","94","0","0"
"439","to","0.260869565217391","94","0","0"
"440","of","0.651785714285714","94","6","6"
"441","i","0.0267857142857143","100","0","0"
"442","the","0.025297619047619","100","0","0"
"443","result","0.0133928571428571","100","0","0"
"444","it","0.0119047619047619","100","0","0"
"445","is","0.0119047619047619","100","0","0"
"446","world","0.0418604651162791","100","0","0"
"447","time","0.0418604651162791","100","0","0"
"448","<>","0.0511627906976744","100","0","0"
"449","of","0.833333333333333","100","0","0"
"450","of","0.8125","100","0","0"
"451","union","0.282051282051282","100","0","0"
"452","of","0.0670391061452514","100","0","0"
"453","will","0.0614525139664804","100","0","0"
"454","is","0.0502793296089385","100","0","0"
"455","was","0.0446927374301676","100","0","0"
"456","of","0.483870967741935","100","0","0"
"457","same","0.375","100","0","0"
"458","of","0.764705882352941","100","0","0"
"459","of","0.615384615384615","100","0","0"
"460","of","0.9375","100","0","0"
"461","of","0.916666666666667","100","0","0"
"462","of","0.318181818181818","100","0","0"
"463","of","0.4","100","0","0"
"464","of","0.4","100","0","0"
"465","of","0.386792452830189","100","1","1"
"466","that","0.828746177370031","101","7","6"
"467","is","0.0397553516819572","108","0","0"
"468","i","0.0244648318042813","108","0","0"
"469","of","0.0244648318042813","108","1","1"
"470","of","0.615384615384615","109","0","0"
"471","of","0.134146341463415","109","0","0"
"472","of","0.6","109","0","0"
"473","of","0.0594059405940594","109","0","0"
"474","and","0.0495049504950495","109","0","0"
"475","<>","0.0396039603960396","109","0","0"
"476","growing","0.347826086956522","109","0","0"
"477","of","0.875","109","0","0"
"478","of","0.283018867924528","109","0","0"
"479","of","0.458333333333333","109","0","0"
"480","government","0.304347826086957","109","0","0"
"481","reserve","0.072463768115942","109","0","0"
"482","of","0.666666666666667","109","0","0"
"483","of","0.276595744680851","109","0","0"
"484","that","0.212765957446809","109","0","0"
"485","and","0.0867052023121387","109","0","0"
"486","of","0.0751445086705202","109","0","0"
"487","for","0.0578034682080925","109","0","0"
"488","is","0.101123595505618","109","0","0"
"489","and","0.050561797752809","109","0","0"
"490","four","0.0711610486891386","109","0","0"
"491","three","0.0411985018726592","109","0","0"
"492","<>","0.0299625468164794","109","0","0"
"493","crisis","0.215686274509804","109","0","0"
"494","line","0.580645161290323","109","0","0"
"495","touches","0.818181818181818","109","0","0"
"496","year","0.666666666666667","109","0","0"
"497","and","0.115151515151515","109","0","0"
"498","of","0.0545454545454545","109","0","0"
