"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"1","List-Order",1000,0.17000000000553,1.214,0.16,0.0100000000000007,NA,NA,1
"2","List-TopXSort",1000,0.189999999995052,1.357,0.180000000000001,0,NA,NA,1
"3","R5-Order",1000,1.30000000000291,9.286,1.29,0,NA,NA,1
"4","R5-TopXSort",1000,1.27999999999884,9.143,1.28,0,NA,NA,1
"5","S3-Order",1000,0.279999999998836,2,0.26,0.0199999999999996,NA,NA,1
"6","S3-TopXSort",1000,0.319999999999709,2.286,0.33,0,NA,NA,1
"7","S4-Order",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,1
"8","S4-TopXSort",1000,0.169999999998254,1.214,0.17,0,NA,NA,1
"9","List-Order",1000,0.180000000000291,1.2,0.189999999999998,0,NA,NA,2
"10","List-TopXSort",1000,0.25,1.667,0.23,0.00999999999999979,NA,NA,2
"11","R5-Order",1000,1.25,8.333,1.25,0,NA,NA,2
"12","R5-TopXSort",1000,1.47000000000116,9.8,1.47,0,NA,NA,2
"13","S3-Order",1000,0.270000000004075,1.8,0.25,0,NA,NA,2
"14","S3-TopXSort",1000,0.360000000000582,2.4,0.359999999999999,0,NA,NA,2
"15","S4-Order",1000,0.150000000001455,1,0.16,0,NA,NA,2
"16","S4-TopXSort",1000,0.169999999998254,1.133,0.170000000000002,0,NA,NA,2
"17","List-Order",1000,0.139999999999418,1.167,0.140000000000001,0,NA,NA,3
"18","List-TopXSort",1000,0.120000000002619,1,0.130000000000003,0,NA,NA,3
"19","R5-Order",1000,1.15999999999622,9.667,1.16,0,NA,NA,3
"20","R5-TopXSort",1000,1.22000000000116,10.167,1.22,0,NA,NA,3
"21","S3-Order",1000,0.25,2.083,0.25,0,NA,NA,3
"22","S3-TopXSort",1000,0.269999999996799,2.25,0.27,0,NA,NA,3
"23","S4-Order",1000,0.139999999999418,1.167,0.140000000000001,0,NA,NA,3
"24","S4-TopXSort",1000,0.120000000002619,1,0.129999999999999,0,NA,NA,3
"25","List-Order",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,4
"26","List-TopXSort",1000,0.190000000002328,1.357,0.18,0,NA,NA,4
"27","R5-Order",1000,1.12999999999738,8.071,1.12,0,NA,NA,4
"28","R5-TopXSort",1000,1.30999999999767,9.357,1.32,0,NA,NA,4
"29","S3-Order",1000,0.230000000003201,1.643,0.23,0,NA,NA,4
"30","S3-TopXSort",1000,0.30000000000291,2.143,0.300000000000001,0,NA,NA,4
"31","S4-Order",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,4
"32","S4-TopXSort",1000,0.189999999995052,1.357,0.189999999999998,0,NA,NA,4
"33","List-Order",1000,0.160000000003492,1,0.149999999999999,0,NA,NA,5
"34","List-TopXSort",1000,0.190000000002328,1.188,0.189999999999998,0,NA,NA,5
"35","R5-Order",1000,1.12999999999738,7.063,1.13,0,NA,NA,5
"36","R5-TopXSort",1000,1.28000000000611,8,1.28,0,NA,NA,5
"37","S3-Order",1000,0.230000000003201,1.438,0.240000000000002,0,NA,NA,5
"38","S3-TopXSort",1000,0.299999999995634,1.875,0.300000000000001,0,NA,NA,5
"39","S4-Order",1000,0.159999999996217,1,0.159999999999997,0,NA,NA,5
"40","S4-TopXSort",1000,0.189999999995052,1.187,0.189999999999998,0,NA,NA,5
"41","List-Order",1000,0.159999999996217,1.143,0.160000000000004,0,NA,NA,6
