"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"1","List-Order",1000,0.149999999999864,1,0.16,0,NA,NA,1
"2","List-TopXSort",1000,0.269999999999982,1.8,0.260000000000002,0.0100000000000007,NA,NA,1
"3","S3-Order",1000,0.25,1.667,0.25,0,NA,NA,1
"4","S3-TopXSort",1000,0.299999999999955,2,0.300000000000001,0,NA,NA,1
"5","S4-Order",1000,0.160000000000082,1.067,0.16,0,NA,NA,1
"6","S4-TopXSort",1000,0.230000000000018,1.533,0.219999999999999,0,NA,NA,1
"7","List-Order",1000,0.1400000000001,1,0.140000000000001,0,NA,NA,2
"8","List-TopXSort",1000,0.200000000000045,1.429,0.200000000000003,0,NA,NA,2
"9","S3-Order",1000,0.220000000000027,1.571,0.210000000000001,0,NA,NA,2
"10","S3-TopXSort",1000,0.279999999999973,2,0.280000000000001,0,NA,NA,2
"11","S4-Order",1000,0.1400000000001,1,0.140000000000001,0,NA,NA,2
"12","S4-TopXSort",1000,0.200000000000045,1.429,0.199999999999999,0,NA,NA,2
"13","List-Order",1000,0.139999999999873,1,0.149999999999999,0,NA,NA,3
"14","List-TopXSort",1000,0.190000000000055,1.357,0.190000000000001,0,NA,NA,3
"15","S3-Order",1000,0.220000000000027,1.571,0.210000000000001,0,NA,NA,3
"16","S3-TopXSort",1000,0.279999999999973,2,0.289999999999999,0,NA,NA,3
"17","S4-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,3
"18","S4-TopXSort",1000,0.179999999999836,1.286,0.190000000000001,0,NA,NA,3
"19","List-Order",1000,0.130000000000109,1.083,0.119999999999997,0,NA,NA,4
"20","List-TopXSort",1000,0.210000000000036,1.75,0.199999999999999,0,NA,NA,4
"21","S3-Order",1000,0.210000000000036,1.75,0.199999999999996,0,NA,NA,4
"22","S3-TopXSort",1000,0.299999999999955,2.5,0.289999999999999,0,NA,NA,4
"23","S4-Order",1000,0.119999999999891,1,0.119999999999997,0,NA,NA,4
"24","S4-TopXSort",1000,0.200000000000045,1.667,0.200000000000003,0,NA,NA,4
"25","List-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,5
"26","List-TopXSort",1000,0.2199999999998,1.571,0.219999999999999,0,NA,NA,5
"27","S3-Order",1000,0.220000000000027,1.571,0.220000000000006,0,NA,NA,5
"28","S3-TopXSort",1000,0.309999999999945,2.214,0.32,0,NA,NA,5
"29","S4-Order",1000,0.1400000000001,1,0.140000000000001,0,NA,NA,5
"30","S4-TopXSort",1000,0.220000000000027,1.571,0.219999999999999,0,NA,NA,5
"31","List-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,6
"32","List-TopXSort",1000,0.190000000000055,1.357,0.189999999999998,0,NA,NA,6
"33","S3-Order",1000,0.210000000000036,1.5,0.199999999999996,0,NA,NA,6
"34","S3-TopXSort",1000,0.279999999999973,2,0.280000000000001,0,NA,NA,6
"35","S4-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,6
"36","S4-TopXSort",1000,0.199999999999818,1.429,0.210000000000001,0,NA,NA,6
"37","List-Order",1000,0.1400000000001,1,0.140000000000001,0,NA,NA,7
"38","List-TopXSort",1000,0.180000000000064,1.286,0.189999999999998,0,NA,NA,7
"39","S3-Order",1000,0.240000000000009,1.714,0.240000000000002,0,NA,NA,7
"40","S3-TopXSort",1000,0.279999999999973,2,0.270000000000003,0.0199999999999996,NA,NA,7
"41","S4-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,7
"42","S4-TopXSort",1000,0.190000000000055,1.357,0.190000000000005,0,NA,NA,7
"43","List-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,8
"44","List-TopXSort",1000,0.199999999999818,1.429,0.210000000000001,0,NA,NA,8
"45","S3-Order",1000,0.25,1.786,0.25,0,NA,NA,8
"46","S3-TopXSort",1000,0.279999999999973,2,0.270000000000003,0.00999999999999979,NA,NA,8
"47","S4-Order",1000,0.150000000000091,1.071,0.140000000000001,0,NA,NA,8
"48","S4-TopXSort",1000,0.200000000000045,1.429,0.199999999999996,0,NA,NA,8
"49","List-Order",1000,0.129999999999882,1,0.129999999999995,0,NA,NA,9
"50","List-TopXSort",1000,0.169999999999845,1.308,0.169999999999995,0,NA,NA,9
"51","S3-Order",1000,0.220000000000027,1.692,0.220000000000006,0,NA,NA,9
"52","S3-TopXSort",1000,0.269999999999982,2.077,0.269999999999996,0,NA,NA,9
"53","S4-Order",1000,0.139999999999873,1.077,0.140000000000001,0,NA,NA,9
"54","S4-TopXSort",1000,0.189999999999827,1.462,0.189999999999998,0,NA,NA,9
"55","List-Order",1000,0.130000000000109,1,0.130000000000003,0,NA,NA,10
"56","List-TopXSort",1000,0.190000000000055,1.462,0.190000000000005,0,NA,NA,10
"57","S3-Order",1000,0.220000000000027,1.692,0.220000000000006,0,NA,NA,10
"58","S3-TopXSort",1000,0.279999999999973,2.154,0.289999999999999,0,NA,NA,10
"59","S4-Order",1000,0.150000000000091,1.154,0.140000000000001,0,NA,NA,10
"60","S4-TopXSort",1000,0.190000000000055,1.462,0.189999999999998,0,NA,NA,10
