"","test","mean"
"1","List-Order",0.137999999999965
"2","List-TopXSort",0.201999999999975
"3","S3-Order",0.226000000000022
"4","S3-TopXSort",0.285999999999967
"5","S4-Order",0.141999999999985
"6","S4-TopXSort",0.199999999999977
