"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"64","R5-Order",1000,1.16000000000349,116,1.16,0,NA,NA,5
"65","R5-Rcpp-TopXSort",1000,2.36000000000058,236,2.36,0,NA,NA,5
"66","R5-TopXSort",1000,1.19999999999709,120,1.2,0,NA,NA,5
"67","R6-Order",1000,0.259999999994761,26,0.269999999999996,0,NA,NA,5
"68","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,5
"69","R6-TopXSort",1000,0.279999999998836,28,0.280000000000001,0,NA,NA,5
"70","S3-Order",1000,0.219999999986612,22,0.219999999999999,0,NA,NA,5
"71","S3-Rcpp-TopXSort",1000,0.00999999999476131,1,0.019999999999996,0,NA,NA,5
"72","S3-TopXSort",1000,0.270000000004075,27,0.25,0.00999999999999979,NA,NA,5
"73","S4-Order",1000,0.14000000001397,14,0.140000000000001,0,NA,NA,5
"74","S4-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,5
"75","S4-TopXSort",1000,0.160000000003492,16,0.149999999999999,0,NA,NA,5
"76","List-Order",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,6
"77","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,6
"78","List-TopXSort",1000,0.120000000009895,12,0.109999999999999,0.0199999999999996,NA,NA,6
"79","R5-Order",1000,1.11999999999534,112,1.13,0,NA,NA,6
"80","R5-Rcpp-TopXSort",1000,2.33000000000175,233,2.32000000000001,0,NA,NA,6
"81","R5-TopXSort",1000,1.13999999999942,114,1.13999999999999,0,NA,NA,6
"82","R6-Order",1000,0.260000000009313,26,0.260000000000005,0,NA,NA,6
"83","R6-Rcpp-TopXSort",1000,0.0300000000133878,3,0.0300000000000011,0,NA,NA,6
"84","R6-TopXSort",1000,0.259999999994761,26,0.27000000000001,0,NA,NA,6
"85","S3-Order",1000,0.229999999995925,23,0.230000000000004,0,NA,NA,6
"86","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,6
"87","S3-TopXSort",1000,0.220000000001164,22,0.219999999999999,0,NA,NA,6
"88","S4-Order",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,6
"89","S4-Rcpp-TopXSort",1000,0.00999999999476131,1,0.019999999999996,0,NA,NA,6
"90","S4-TopXSort",1000,0.119999999995343,12,0.11999999999999,0,NA,NA,6
"91","List-Order",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,7
"92","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,7
"93","List-TopXSort",1000,0.129999999990105,13,0.129999999999995,0,NA,NA,7
"94","R5-Order",1000,1.16999999999825,117,1.17,0,NA,NA,7
"95","R5-Rcpp-TopXSort",1000,2.41000000000349,241,2.41000000000001,0,NA,NA,7
"96","R5-TopXSort",1000,1.25,125,1.23,0.0100000000000016,NA,NA,7
"97","R6-Order",1000,0.270000000004075,27,0.27000000000001,0,NA,NA,7
"98","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,7
"99","R6-TopXSort",1000,0.25,25,0.25,0,NA,NA,7
"100","S3-Order",1000,0.219999999986612,22,0.219999999999999,0,NA,NA,7
"101","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,7
"102","S3-TopXSort",1000,0.240000000005239,24,0.22999999999999,0,NA,NA,7
"103","S4-Order",1000,0.169999999998254,17,0.170000000000002,0,NA,NA,7
"104","S4-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0200000000000102,0,NA,NA,7
"105","S4-TopXSort",1000,0.110000000000582,11,0.109999999999999,0,NA,NA,7
"106","List-Order",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,8
"107","List-Rcpp-TopXSort",1000,0.0100000000093132,1,0.019999999999996,0,NA,NA,8
"108","List-TopXSort",1000,0.119999999995343,12,0.11999999999999,0,NA,NA,8
"109","R5-Order",1000,1.16000000000349,116,1.16000000000001,0,NA,NA,8
"110","R5-Rcpp-TopXSort",1000,2.38000000000466,238,2.33000000000001,0.0499999999999989,NA,NA,8
"111","R5-TopXSort",1000,1.16999999999825,117,1.17,0,NA,NA,8
"112","R6-Order",1000,0.260000000009313,26,0.27000000000001,0,NA,NA,8
"113","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0299999999999869,0,NA,NA,8
"114","R6-TopXSort",1000,0.279999999998836,28,0.290000000000006,0,NA,NA,8
"115","S3-Order",1000,0.220000000001164,22,0.219999999999999,0,NA,NA,8
"116","S3-Rcpp-TopXSort",1000,0.0199999999895226,2,0.0100000000000051,0,NA,NA,8
"117","S3-TopXSort",1000,0.240000000005239,24,0.239999999999995,0,NA,NA,8
"118","S4-Order",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,8
"119","S4-Rcpp-TopXSort",1000,0.0199999999895226,2,0.0100000000000051,0,NA,NA,8
"120","S4-TopXSort",1000,0.129999999990105,13,0.120000000000005,0,NA,NA,8
"121","List-Order",1000,0.139999999999418,4.667,0.140000000000001,0,NA,NA,9
"122","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0299999999999869,0,NA,NA,9
"123","List-TopXSort",1000,0.130000000004657,4.333,0.120000000000005,0,NA,NA,9
"124","R5-Order",1000,1.10000000000582,36.667,1.11,0,NA,NA,9
"125","R5-Rcpp-TopXSort",1000,2.33999999999651,78,2.34999999999999,0,NA,NA,9
"126","R5-TopXSort",1000,1.13999999999942,38,1.14,0,NA,NA,9
"127","R6-Order",1000,0.25,8.333,0.25,0,NA,NA,9
"128","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0400000000000063,0,NA,NA,9
"129","R6-TopXSort",1000,0.260000000009313,8.667,0.259999999999991,0,NA,NA,9
"130","S3-Order",1000,0.240000000005239,8,0.230000000000004,0,NA,NA,9
"131","S3-Rcpp-TopXSort",1000,0.0399999999935972,1.333,0.0300000000000011,0,NA,NA,9
"132","S3-TopXSort",1000,0.220000000001164,7.333,0.219999999999999,0,NA,NA,9
"133","S4-Order",1000,0.139999999999418,4.667,0.140000000000001,0,NA,NA,9
"134","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,9
"135","S4-TopXSort",1000,0.10999999998603,3.667,0.109999999999999,0,NA,NA,9
"136","List-Order",1000,0.139999999999418,7,0.140000000000001,0,NA,NA,10
"137","List-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,10
"138","List-TopXSort",1000,0.119999999995343,6,0.120000000000005,0,NA,NA,10
"139","R5-Order",1000,1.16000000000349,58,1.16,0,NA,NA,10
"140","R5-Rcpp-TopXSort",1000,2.58000000000175,129,2.52,0.0199999999999996,NA,NA,10
"141","R5-TopXSort",1000,1.16999999999825,58.5,1.17,0,NA,NA,10
"142","R6-Order",1000,0.260000000009313,13,0.259999999999991,0,NA,NA,10
"143","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,10
"144","R6-TopXSort",1000,0.279999999998836,14,0.269999999999996,0.00999999999999979,NA,NA,10
"145","S3-Order",1000,0.229999999995925,11.5,0.230000000000004,0,NA,NA,10
"146","S3-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,10
"147","S3-TopXSort",1000,0.229999999995925,11.5,0.230000000000004,0,NA,NA,10
"148","S4-Order",1000,0.160000000003492,8,0.159999999999997,0,NA,NA,10
"149","S4-Rcpp-TopXSort",1000,0.0199999999895226,1,0.0200000000000102,0,NA,NA,10
"150","S4-TopXSort",1000,0.139999999999418,7,0.140000000000001,0,NA,NA,10
