"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"55","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,14
"56","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,14
"57","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,15
"58","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,15
"59","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,15
"60","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,15
"61","List-Rcpp-TopXSort",1000,0.0100000000093132,1,0.0200000000000102,0,NA,NA,16
"62","R6-Rcpp-TopXSort",1000,0.0300000000133878,3,0.0300000000000011,0,NA,NA,16
"63","S3-Rcpp-TopXSort",1000,0.0300000000133878,3,0.0300000000000011,0,NA,NA,16
"64","S4-Rcpp-TopXSort",1000,0.0300000000133878,3,0.0300000000000011,0,NA,NA,16
"65","List-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0199999999999818,0,NA,NA,17
"66","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,17
"67","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,17
"68","S4-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,17
"69","List-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,18
"70","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,18
"71","S3-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,18
"72","S4-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0100000000000193,0,NA,NA,18
"73","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,19
"74","R6-Rcpp-TopXSort",1000,0.0499999999883585,5,0.0500000000000114,0,NA,NA,19
"75","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,19
"76","S4-Rcpp-TopXSort",1000,0.0100000000093132,1,0.0199999999999818,0,NA,NA,19
"77","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,20
"78","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,20
"79","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,20
"80","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,20
"81","List-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,21
"82","R6-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,21
"83","S3-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,21
"84","S4-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,21
"85","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,22
"86","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,22
"87","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,22
"88","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,22
"89","List-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0100000000000193,0,NA,NA,23
"90","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,23
"91","S3-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0100000000000193,0,NA,NA,23
"92","S4-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0100000000000193,0,NA,NA,23
"93","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,24
"94","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,24
"95","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,24
"96","S4-Rcpp-TopXSort",1000,0.0100000000093132,1,0.0199999999999818,0,NA,NA,24
"97","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,25
"98","R6-Rcpp-TopXSort",1000,0.0500000000029104,5,0.039999999999992,0,NA,NA,25
"99","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,25
"100","S4-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0200000000000102,0,NA,NA,25
"101","List-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,26
"102","R6-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,26
"103","S3-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,26
"104","S4-Rcpp-TopXSort",1000,0.0300000000133878,1,0.0300000000000011,0,NA,NA,26
"105","List-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0199999999999818,0,NA,NA,27
"106","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,27
"107","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,27
"108","S4-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,27
"109","List-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,28
"110","R6-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,28
"111","S3-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,28
"112","S4-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0100000000000193,0,NA,NA,28
"113","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,29
"114","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,29
"115","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,29
"116","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,29
"117","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,30
"118","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,30
"119","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,30
"120","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,30
"121","List-Rcpp-TopXSort",1000,0.0100000000093132,1,0.0200000000000102,0,NA,NA,31
