"","word","freq","start","all","real"
"1","of","0.666666666666667","1","0","0"
"2","to","1","1","0","0"
"3","the","0.6","1","0","0"
"4","about","0.4","1","0","0"
"5","the","0.4","1","0","0"
"6","ever","1","1","0","0"
"7","of","0.15","1","0","0"
"8","i","0.136363636363636","1","0","0"
"9","and","0.0909090909090909","1","0","0"
"10","since","0.0909090909090909","1","0","0"
"11","in","0.0909090909090909","1","0","0"
"12","<>","0.0909090909090909","1","0","0"
"13","of","0.6","1","1","1"
"14","games","0.4","2","1","1"
"15","the","0.5","3","0","0"
"16","of","0.5","3","0","0"
"17","to","0.333333333333333","3","0","0"
"18","of","0.25","3","0","0"
"19","they","0.166666666666667","3","0","0"
"20","<>","0.166666666666667","3","0","0"
"21","the","0.285714285714286","3","0","0"
"22","of","0.666666666666667","3","0","0"
"23","of","1","3","0","0"
"24","true","1","3","1","1"
"25","of","1","4","0","0"
"26","of","1","4","0","0"
"27","<>","0.428571428571429","4","0","0"
"28","round","1","4","0","0"
"29","yankees","0.333333333333333","4","0","0"
"30","were","0.666666666666667","4","0","0"
"31","patriots","1","4","0","0"
"32","<>","0.181818181818182","4","0","0"
"33","part","0.222222222222222","4","0","0"
"34","of","0.153846153846154","4","0","0"
"35","<>","0.307692307692308","4","1","1"
"36","the","0.4","5","0","0"
"37","my","0.666666666666667","5","0","0"
"38","the","0.625","5","0","0"
"39","my","0.25","5","1","1"
"40","<>","0.333333333333333","6","0","0"
"41","<>","0.4","6","0","0"
"42","the","0.4","6","0","0"
"43","<>","0.5","6","0","0"
"44","staff","1","6","0","0"
"45","<>","0.666666666666667","6","0","0"
"46","and","0.4","6","0","0"
"47","<>","1","6","0","0"
"48","the","0.833333333333333","6","1","1"
"49","that","0.5","7","0","0"
"50","<>","1","7","0","0"
"51","my","1","7","0","0"
"52","power","1","7","0","0"
"53","this","0.25","7","0","0"
"54","the","0.25","7","0","0"
"55","<>","0.666666666666667","7","1","1"
"56","his","1","8","0","0"
"57","is","0.8","8","0","0"
"58","islands","1","8","0","0"
"59","a","1","8","0","0"
"60","the","0.25","8","0","0"
"61","<>","0.25","8","0","0"
"62","the","0.6","8","0","0"
"63","<>","0.285714285714286","8","0","0"
"64","in","1","8","0","0"
"65","<>","0.5","8","0","0"
"66","your","1","8","0","0"
"67","<>","0.6","8","1","0"
"68","the","0.6","9","0","0"
"69","<>","0.5","9","0","0"
"70","the","0.333333333333333","9","0","0"
"71","in","1","9","1","0"
"72","leave","1","10","0","0"
"73","a","1","10","0","0"
"74","columbia","1","10","0","0"
"75","the","0.428571428571429","10","0","0"
"76","band","1","10","0","0"
"77","<>","0.666666666666667","10","0","0"
"78","has","0.666666666666667","10","0","0"
"79","the","1","10","0","0"
"80","the","0.604651162790698","10","5","4"
"81","my","0.0697674418604651","15","1","0"
"82","february","0.0465116279069767","16","0","0"
"83","their","1","16","0","0"
"84","i","0.16","16","0","0"
"85","the","0.12","16","1","0"
"86","he","0.08","17","0","0"
"87","<>","0.08","17","0","0"
"88","the","1","17","1","1"
"89","in","1","18","1","1"
"90","our","1","19","1","1"
"91","is","0.285714285714286","20","0","0"
"92","to","0.285714285714286","20","0","0"
"93","the","0.5","20","0","0"
"94","<>","1","20","0","0"
"95","on","0.666666666666667","20","1","1"
"96","the","0.5","21","0","0"
"97","a","0.4","21","0","0"
"98","high","0.666666666666667","21","0","0"
"99","with","1","21","1","1"
"100","it","1","22","0","0"
"101","<>","0.6","22","0","0"
"102","said","0.4","22","0","0"
"103","the","0.666666666666667","22","0","0"
"104","<>","0.666666666666667","22","0","0"
"105","on","1","22","1","0"
"106","is","1","23","1","1"
"107","of","0.333333333333333","24","0","0"
"108","<>","0.5","24","0","0"
"109","i","1","24","0","0"
"110","<>","0.666666666666667","24","0","0"
"111","mexico","0.6","24","0","0"
"112","maine","0.4","24","0","0"
"113","it","1","24","0","0"
"114","<>","0.285714285714286","24","0","0"
"115","that","0.333333333333333","24","0","0"
"116","of","1","24","0","0"
"117","a","0.333333333333333","24","0","0"
"118","now","1","24","0","0"
"119","<>","0.5","24","0","0"
"120","in","0.666666666666667","24","1","0"
"121","<>","0.666666666666667","25","0","0"
"122","building","0.2","25","0","0"
"123","a","0.2","25","0","0"
"124","<>","0.2","25","0","0"
"125","<>","0.4","25","0","0"
"126","the","0.8","25","1","0"
"127","<>","0.4","26","0","0"
"128","not","1","26","1","1"
"129","of","0.666666666666667","27","1","1"
"130","weeks","0.4","28","0","0"
"131","i","0.4","28","0","0"
"132","of","0.75","28","0","0"
"133","days","1","28","0","0"
"134","early","1","28","0","0"
"135","a","0.666666666666667","28","1","0"
"136","<>","1","29","0","0"
"137","loud","1","29","0","0"
"138","to","0.4","29","0","0"
"139","the","0.666666666666667","29","0","0"
"140","i","1","29","0","0"
"141","and","0.5","29","0","0"
"142","like","0.666666666666667","29","0","0"
"143","the","0.5","29","0","0"
"144","<>","0.666666666666667","29","0","0"
"145","<>","1","29","0","0"
"146","the","0.4375","29","0","0"
"147","a","0.1875","29","0","0"
"148","there","1","29","0","0"
"149","<>","0.666666666666667","29","0","0"
"150","the","0.625","29","0","0"
"151","<>","1","29","0","0"
"152","years","0.5","29","0","0"
