"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"1","List-Order",1000,0.159999999999854,5.333,0.150000000000006,0,NA,NA,1
"2","List-Rcpp-TopXSort",1000,0.0300000000006548,1,0.0300000000000011,0,NA,NA,1
"3","List-TopXSort",1000,0.139999999999418,4.667,0.140000000000001,0,NA,NA,1
"4","R5-Order",1000,1.14999999999964,38.333,1.14,0,NA,NA,1
"5","R5-TopXSort",1000,1.17000000000007,39,1.17,0,NA,NA,1
"6","S3-Order",1000,0.25,8.333,0.25,0,NA,NA,1
"7","S3-Rcpp-TopXSort",1000,0.0300000000006548,1,0.0300000000000011,0,NA,NA,1
"8","S3-TopXSort",1000,0.260000000000218,8.667,0.269999999999996,0,NA,NA,1
"9","S4-Order",1000,0.159999999999854,5.333,0.159999999999997,0,NA,NA,1
"10","S4-Rcpp-TopXSort",1000,0.0399999999990541,1.333,0.0300000000000011,0,NA,NA,1
"11","S4-TopXSort",1000,0.1299999999992,4.333,0.120000000000005,0,NA,NA,1
"12","List-Order",1000,0.139999999999418,7,0.140000000000001,0,NA,NA,2
"13","List-Rcpp-TopXSort",1000,0.0200000000004366,1,0.0100000000000051,0,NA,NA,2
"14","List-TopXSort",1000,0.119999999998981,6,0.129999999999995,0,NA,NA,2
"15","R5-Order",1000,1.13999999999942,57,1.14,0,NA,NA,2
"16","R5-TopXSort",1000,1.25,62.5,1.25,0,NA,NA,2
"17","S3-Order",1000,0.239999999999782,12,0.240000000000009,0,NA,NA,2
"18","S3-Rcpp-TopXSort",1000,0.0300000000006548,1.5,0.0300000000000011,0,NA,NA,2
"19","S3-TopXSort",1000,0.230000000001382,11.5,0.239999999999995,0,NA,NA,2
"20","S4-Order",1000,0.149999999999636,7.5,0.140000000000001,0,NA,NA,2
"21","S4-Rcpp-TopXSort",1000,0.0399999999990541,2,0.0300000000000011,0,NA,NA,2
"22","S4-TopXSort",1000,0.1299999999992,6.5,0.13000000000001,0,NA,NA,2
"23","List-Order",1000,0.159999999999854,5.333,0.149999999999991,0,NA,NA,3
"24","List-Rcpp-TopXSort",1000,0.0399999999990541,1.333,0.0300000000000011,0,NA,NA,3
"25","List-TopXSort",1000,0.110000000000582,3.667,0.109999999999999,0,NA,NA,3
"26","R5-Order",1000,1.1200000000008,37.333,1.13,0,NA,NA,3
"27","R5-TopXSort",1000,1.17000000000007,39,1.17,0,NA,NA,3
"28","S3-Order",1000,0.25,8.333,0.25,0,NA,NA,3
"29","S3-Rcpp-TopXSort",1000,0.0300000000006548,1,0.0400000000000063,0,NA,NA,3
"30","S3-TopXSort",1000,0.209999999999127,7,0.219999999999999,0,NA,NA,3
"31","S4-Order",1000,0.159999999999854,5.333,0.160000000000011,0,NA,NA,3
"32","S4-Rcpp-TopXSort",1000,0.0300000000006548,1,0.0400000000000063,0,NA,NA,3
"33","S4-TopXSort",1000,0.109999999998763,3.667,0.0999999999999943,0,NA,NA,3
"34","List-Order",1000,0.159999999999854,16,0.150000000000006,0,NA,NA,4
"35","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,4
"36","List-TopXSort",1000,0.159999999999854,16,0.150000000000006,0,NA,NA,4
"37","R5-Order",1000,1.15999999999985,116,1.15000000000001,0,NA,NA,4
"38","R5-TopXSort",1000,1.21999999999935,122,1.22000000000001,0,NA,NA,4
"39","S3-Order",1000,0.229999999999563,23,0.22999999999999,0,NA,NA,4
"40","S3-Rcpp-TopXSort",1000,0.0300000000006548,3,0.0400000000000063,0,NA,NA,4
"41","S3-TopXSort",1000,0.25,25,0.25,0,NA,NA,4
"42","S4-Order",1000,0.159999999999854,16,0.160000000000011,0,NA,NA,4
"43","S4-Rcpp-TopXSort",1000,0.0100000000002183,1,0.00999999999999091,0,NA,NA,4
"44","S4-TopXSort",1000,0.140000000001237,14,0.140000000000001,0,NA,NA,4
"45","List-Order",1000,0.159999999999854,5.333,0.160000000000011,0,NA,NA,5
"46","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,5
"47","List-TopXSort",1000,0.159999999999854,5.333,0.160000000000011,0,NA,NA,5
"48","R5-Order",1000,1.15999999999985,38.667,1.14999999999999,0,NA,NA,5
"49","R5-TopXSort",1000,1.19999999999891,40,1.19999999999999,0,NA,NA,5
"50","S3-Order",1000,0.25,8.333,0.25,0,NA,NA,5
"51","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,5
"52","S3-TopXSort",1000,0.25,8.333,0.25,0,NA,NA,5
"53","S4-Order",1000,0.159999999999854,5.333,0.150000000000006,0,NA,NA,5
"54","S4-Rcpp-TopXSort",1000,0.0300000000006548,1,0.0300000000000011,0,NA,NA,5
"55","S4-TopXSort",1000,0.159999999999854,5.333,0.150000000000006,0,NA,NA,5
"56","List-Order",1000,0.159999999999854,16,0.159999999999997,0,NA,NA,6
"57","List-Rcpp-TopXSort",1000,0.0100000000002183,1,0.0100000000000051,0,NA,NA,6
"58","List-TopXSort",1000,0.140000000001237,14,0.140000000000001,0,NA,NA,6
"59","R5-Order",1000,1.1200000000008,112,1.13000000000001,0,NA,NA,6
"60","R5-TopXSort",1000,1.18000000000029,118,1.16999999999999,0,NA,NA,6
"61","S3-Order",1000,0.229999999999563,23,0.240000000000009,0,NA,NA,6
"62","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,6
"63","S3-TopXSort",1000,0.239999999999782,24,0.22999999999999,0,NA,NA,6
"64","S4-Order",1000,0.160000000001673,16,0.159999999999997,0,NA,NA,6
"65","S4-Rcpp-TopXSort",1000,0.0400000000008731,4,0.0300000000000011,0,NA,NA,6
"66","S4-TopXSort",1000,0.1200000000008,12,0.129999999999995,0,NA,NA,6
"67","List-Order",1000,0.150000000001455,5,0.160000000000011,0,NA,NA,7
"68","List-Rcpp-TopXSort",1000,0.0300000000006548,1,0.0300000000000011,0,NA,NA,7
"69","List-TopXSort",1000,0.110000000000582,3.667,0.109999999999999,0,NA,NA,7
"70","R5-Order",1000,1.14000000000124,38,1.14,0,NA,NA,7
"71","R5-TopXSort",1000,1.18000000000029,39.333,1.19000000000001,0,NA,NA,7
"72","S3-Order",1000,0.25,8.333,0.25,0,NA,NA,7
"73","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,7
"74","S3-TopXSort",1000,0.239999999999782,8,0.230000000000004,0,NA,NA,7
"75","S4-Order",1000,0.159999999999854,5.333,0.159999999999997,0,NA,NA,7
"76","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,7
"77","S4-TopXSort",1000,0.110000000000582,3.667,0.109999999999999,0,NA,NA,7
"78","List-Order",1000,0.139999999999418,4.667,0.139999999999986,0,NA,NA,8
"79","List-Rcpp-TopXSort",1000,0.0300000000006548,1,0.0300000000000011,0,NA,NA,8
"80","List-TopXSort",1000,0.1299999999992,4.333,0.11999999999999,0,NA,NA,8
"81","R5-Order",1000,1.14000000000124,38,1.13999999999999,0,NA,NA,8
"82","R5-TopXSort",1000,1.26000000000022,42,1.26999999999998,0,NA,NA,8
"83","S3-Order",1000,0.25,8.333,0.25,0,NA,NA,8
"84","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.0300000000000011,0,NA,NA,8
"85","S3-TopXSort",1000,0.229999999999563,7.667,0.230000000000004,0,NA,NA,8
"86","S4-Order",1000,0.159999999999854,5.333,0.159999999999997,0,NA,NA,8
"87","S4-Rcpp-TopXSort",1000,0.0300000000006548,1,0.0300000000000011,0,NA,NA,8
"88","S4-TopXSort",1000,0.139999999999418,4.667,0.150000000000006,0,NA,NA,8
"89","List-Order",1000,0.149999999999636,15,0.159999999999997,0,NA,NA,9
"90","List-Rcpp-TopXSort",1000,0.0300000000006548,3,0.039999999999992,0,NA,NA,9
"91","List-TopXSort",1000,0.109999999998763,11,0.110000000000014,0,NA,NA,9
"92","R5-Order",1000,1.23999999999978,124,1.23999999999998,0,NA,NA,9
"93","R5-TopXSort",1000,1.21000000000095,121,1.20000000000002,0,NA,NA,9
