"","X","word","freq","start","all","real"
"1",1,"to",0.112719298245614,1,4,3
"2",2,"líbí",0.062719298245614,5,2,1
"3",3,"podařilo",0.0210526315789474,7,1,0
"4",4,"že",0.0210526315789474,8,1,1
"5",5,"nechce",0.0184210526315789,9,0,0
"6",6,"na",0.0184210526315789,9,0,0
"7",7,"tam",0.0175438596491228,9,0,0
"8",8,"zdá",0.0166666666666667,9,1,1
"9",9,"moc",0.0149122807017544,10,1,1
"10",10,"do",0.0131578947368421,11,1,1
"11",11,"ale",0.0043859649122807,12,0,0
"12",12,"ani",0.0043859649122807,12,0,0
"13",13,"asi",0.00350877192982456,12,0,0
"14",14,"bude",0.00394736842105263,12,0,0
"15",15,"chce",0.00745614035087719,12,0,0
"16",16,"chtělo",0.00482456140350877,12,0,0
"17",17,"dneska",0.00350877192982456,12,0,0
"18",18,"fakt",0.00614035087719298,12,0,0
"19",19,"i",0.0043859649122807,12,0,0
"20",20,"konečně",0.0043859649122807,12,0,0
"21",21,"líbil",0.00482456140350877,12,0,0
"22",22,"líbilo",0.00570175438596491,12,0,0
"23",23,"nechtělo",0.00394736842105263,12,0,0
"24",24,"nedaří",0.00394736842105263,12,0,0
"25",25,"nelíbí",0.012280701754386,12,0,0
"26",26,"nepodařilo",0.00350877192982456,12,0,0
"27",27,"nějak",0.0043859649122807,12,0,0
"28",28,"o",0.00833333333333333,12,0,0
"29",29,"opravdu",0.0043859649122807,12,0,0
"30",30,"po",0.00745614035087719,12,0,0
"31",31,"podaří",0.00482456140350877,12,0,0
"32",32,"povedlo",0.00526315789473684,12,0,0
"33",33,"s",0.00350877192982456,12,0,0
"34",34,"snad",0.00394736842105263,12,0,0
"35",35,"spát",0.00394736842105263,12,0,0
"36",36,"stalo",0.0087719298245614,12,0,0
"37",37,"stává",0.00394736842105263,12,0,0
"38",38,"ta",0.00526315789473684,12,0,0
"39",39,"taky",0.00833333333333333,12,0,0
"40",40,"ten",0.00833333333333333,12,0,0
"41",41,"tu",0.00657894736842105,12,0,0
"42",42,"už",0.0043859649122807,12,0,0
"43",43,"v",0.0118421052631579,12,0,0
"44",44,"vůbec",0.00526315789473684,12,0,0
"45",45,"za",0.00482456140350877,12,0,0
"46",46,"zdálo",0.00526315789473684,12,0,0
"47",47,"<>",0.0789473684210526,12,2,1
"48",48,"to",0.112181303116147,14,1,0
"49",49,"něj",0.0475920679886686,15,1,0
"50",50,"mě",0.0345609065155807,16,1,0
"51",51,"ni",0.0203966005665722,17,0,0
"52",52,"ní",0.0181303116147309,17,0,0
"53",53,"ně",0.0130311614730878,17,0,0
"54",54,"nás",0.0124645892351275,17,0,0
"55",55,"tom",0.0124645892351275,17,0,0
"56",56,"vás",0.0113314447592068,17,0,0
"57",57,"další",0.0107648725212465,17,0,0
"58",58,"cestu",0.00453257790368272,17,0,0
"59",59,"co",0.00793201133144476,17,1,1
"60",60,"internetu",0.0056657223796034,18,0,0
"61",61,"nich",0.00679886685552408,18,0,0
"62",62,"něm",0.00963172804532578,18,0,0
"63",63,"sebe",0.00453257790368272,18,0,0
"64",64,"tebe",0.00679886685552408,18,0,0
"65",65,"ten",0.00793201133144476,18,0,0
"66",66,"tu",0.00679886685552408,18,0,0
"67",67,"twitteru",0.00453257790368272,18,0,0
"68",68,"ty",0.00906515580736544,18,0,0
