"","X","word","freq","start","all","real"
"1",1,"se",0.0220171941977746,1,769,768
"2",2,"na",0.0208681567724196,770,957,956
"3",3,"to",0.0181529626138316,1727,611,610
"4",4,"v",0.0172429632887114,2338,739,738
"5",5,"je",0.0149636109121546,3077,466,465
"6",6,"že",0.0111298577745074,3543,285,284
"7",7,"jsem",0.00907212724315922,3828,282,281
"8",8,"ale",0.00784253963830792,4110,314,313
"9",9,"s",0.00748855425489995,4424,257,256
"10",10,"si",0.00742063086029769,4681,324,323
"11",11,"#android",1.43684103966334e-05,5005,0,0
"12",12,"#angrybirds",3.48325100524447e-06,5005,0,0
"13",13,"#apple",5.2248765078667e-06,5005,0,0
"14",14,"#barcampcz",1.04497530157334e-05,5005,0,0
"15",15,"#barcampov",2.61243825393335e-06,5005,0,0
"16",16,"#brno",3.04784462958891e-06,5005,0,0
"17",17,"#chrome",6.53109563483338e-06,5005,0,0
"18",18,"#cvut",3.04784462958891e-06,5005,0,0
"19",19,"#digit",3.04784462958891e-06,5005,0,0
"20",20,"#dobre_rano",1.17559721427001e-05,5005,0,0
"21",21,"#dobrerano",3.04784462958891e-06,5005,0,0
"22",22,"#dobrou_noc",4.35406375655559e-06,5005,0,0
"23",23,"#drunktweet",2.61243825393335e-06,5005,0,0
"24",24,"#facebook",9.57894026442229e-06,5005,0,0
"25",25,"#fail",2.26411315340891e-05,5005,0,0
"26",26,"#fb",1.17559721427001e-05,5005,0,0
"27",27,"#febiofest",2.61243825393335e-06,5005,0,0
"28",28,"#ff",8.70812751311117e-06,5005,0,0
"29",29,"#ffcz",8.70812751311117e-06,5005,0,0
"30",30,"#firefox",4.78947013221115e-06,5005,0,0
"31",31,"#followfriday",2.17703187827779e-06,5005,0,0
"32",32,"#fotbal",2.17703187827779e-06,5005,0,0
"33",33,"#foursquare",2.17703187827779e-06,5005,0,0
"34",34,"#gddcz",3.91865738090003e-06,5005,0,0
"35",35,"#gmail",2.17703187827779e-06,5005,0,0
"36",36,"#google",1.82870677775335e-05,5005,1,0
"37",37,"#googleplus",1.65454422749112e-05,5006,0,0
"38",38,"#gowalla",3.48325100524447e-06,5006,0,0
"39",39,"#gpivo",8.27272113745562e-06,5006,0,0
"40",40,"#gugtv",3.91865738090003e-06,5006,0,0
"41",41,"#hanacketweet",5.2248765078667e-06,5006,0,0
"42",42,"#hokej",2.17703187827779e-06,5006,0,0
"43",43,"#htc",2.61243825393335e-06,5006,0,0
"44",44,"#htczapolovic",3.48325100524447e-06,5006,0,0
"45",45,"#inception",2.61243825393335e-06,5006,0,0
"46",46,"#ipad",3.91865738090003e-06,5006,0,0
"47",47,"#iphone",9.14353388876673e-06,5006,0,0
