"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"1","List-Order",1000,0.159999999999854,1,0.159999999999997,0,NA,NA,1
"2","List-TopXSort",1000,0.190000000000055,1.188,0.189999999999998,0,NA,NA,1
"3","S3-Order",1000,0.230000000000018,1.438,0.230000000000004,0,NA,NA,1
"4","S3-TopXSort",1000,0.309999999999945,1.938,0.310000000000002,0,NA,NA,1
"5","S4-Order",1000,0.159999999999854,1,0.160000000000011,0,NA,NA,1
"6","S4-TopXSort",1000,0.170000000000073,1.063,0.170000000000002,0,NA,NA,1
"7","List-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,2
"8","List-TopXSort",1000,0.159999999999854,1.143,0.159999999999997,0,NA,NA,2
"9","S3-Order",1000,0.2199999999998,1.571,0.219999999999999,0,NA,NA,2
"10","S3-TopXSort",1000,0.289999999999964,2.071,0.280000000000001,0,NA,NA,2
"11","S4-Order",1000,0.140000000000327,1,0.140000000000001,0,NA,NA,2
"12","S4-TopXSort",1000,0.159999999999854,1.143,0.140000000000001,0.00999999999999979,NA,NA,2
"13","List-Order",1000,0.139999999999873,1.167,0.140000000000001,0,NA,NA,3
"14","List-TopXSort",1000,0.119999999999891,1,0.13000000000001,0,NA,NA,3
"15","S3-Order",1000,0.230000000000018,1.917,0.239999999999995,0,NA,NA,3
"16","S3-TopXSort",1000,0.25,2.083,0.25,0,NA,NA,3
"17","S4-Order",1000,0.139999999999873,1.167,0.140000000000001,0,NA,NA,3
"18","S4-TopXSort",1000,0.139999999999873,1.167,0.140000000000001,0,NA,NA,3
"19","List-Order",1000,0.140000000000327,1,0.140000000000001,0,NA,NA,4
"20","List-TopXSort",1000,0.159999999999854,1.143,0.149999999999991,0,NA,NA,4
"21","S3-Order",1000,0.239999999999782,1.714,0.230000000000004,0,NA,NA,4
"22","S3-TopXSort",1000,0.279999999999745,2,0.280000000000001,0,NA,NA,4
"23","S4-Order",1000,0.159999999999854,1.143,0.150000000000006,0,NA,NA,4
"24","S4-TopXSort",1000,0.190000000000055,1.357,0.190000000000012,0,NA,NA,4
"25","List-Order",1000,0.139999999999873,1.077,0.140000000000001,0,NA,NA,5
"26","List-TopXSort",1000,0.190000000000055,1.462,0.170000000000002,0.0199999999999996,NA,NA,5
"27","S3-Order",1000,0.220000000000255,1.692,0.219999999999999,0,NA,NA,5
"28","S3-TopXSort",1000,0.300000000000182,2.308,0.299999999999997,0,NA,NA,5
"29","S4-Order",1000,0.130000000000109,1,0.129999999999995,0,NA,NA,5
"30","S4-TopXSort",1000,0.170000000000073,1.308,0.170000000000002,0,NA,NA,5
"31","List-Order",1000,0.150000000000091,1.071,0.140000000000001,0,NA,NA,6
"32","List-TopXSort",1000,0.139999999999873,1,0.139999999999986,0,NA,NA,6
"33","S3-Order",1000,0.2199999999998,1.571,0.219999999999999,0,NA,NA,6
"34","S3-TopXSort",1000,0.25,1.786,0.22999999999999,0.00999999999999979,NA,NA,6
"35","S4-Order",1000,0.140000000000327,1,0.140000000000001,0,NA,NA,6
"36","S4-TopXSort",1000,0.140000000000327,1,0.140000000000001,0,NA,NA,6
"37","List-Order",1000,0.159999999999854,1.143,0.160000000000011,0,NA,NA,7
"38","List-TopXSort",1000,0.170000000000073,1.214,0.170000000000002,0,NA,NA,7
"39","S3-Order",1000,0.2199999999998,1.571,0.219999999999999,0,NA,NA,7
"40","S3-TopXSort",1000,0.25,1.786,0.25,0,NA,NA,7
"41","S4-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,7
"42","S4-TopXSort",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,7
"43","List-Order",1000,0.140000000000327,1,0.140000000000001,0,NA,NA,8
"44","List-TopXSort",1000,0.159999999999854,1.143,0.159999999999997,0,NA,NA,8
"45","S3-Order",1000,0.2199999999998,1.571,0.219999999999999,0,NA,NA,8
"46","S3-TopXSort",1000,0.260000000000218,1.857,0.269999999999996,0,NA,NA,8
"47","S4-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,8
"48","S4-TopXSort",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,8
"49","List-Order",1000,0.119999999999891,1,0.13000000000001,0,NA,NA,9
"50","List-TopXSort",1000,0.130000000000109,1.083,0.120000000000005,0,NA,NA,9
"51","S3-Order",1000,0.220000000000255,1.833,0.219999999999999,0,NA,NA,9
"52","S3-TopXSort",1000,0.210000000000036,1.75,0.219999999999999,0,NA,NA,9
"53","S4-Order",1000,0.139999999999873,1.167,0.140000000000001,0,NA,NA,9
"54","S4-TopXSort",1000,0.130000000000109,1.083,0.109999999999999,0.0200000000000014,NA,NA,9
"55","List-Order",1000,0.139999999999873,1,0.150000000000006,0,NA,NA,10
"56","List-TopXSort",1000,0.150000000000091,1.071,0.160000000000011,0,NA,NA,10
"57","S3-Order",1000,0.220000000000255,1.571,0.219999999999999,0,NA,NA,10
"58","S3-TopXSort",1000,0.25,1.786,0.25,0,NA,NA,10
"59","S4-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,10
"60","S4-TopXSort",1000,0.150000000000091,1.071,0.150000000000006,0,NA,NA,10
