"","test","mean"
"1","List-Order",0.142999999999984
"2","List-TopXSort",0.156999999999971
"3","S3-Order",0.223999999999978
"4","S3-TopXSort",0.265000000000009
"5","S4-Order",0.142999999999984
"6","S4-TopXSort",0.15300000000002
