"","word","freq"
"1","years","0.163265306122449"
"2","the","0.615384615384615"
"3","days","0.615384615384615"
"4","average","1"
"5","day","0.166666666666667"
"6","year","0.0989583333333333"
"7","month","0.0520833333333333"
"8","by","1"
"9","night","0.15"
"10","the","0.689655172413793"
"11","the","0.888888888888889"
"12","world","0.0853658536585366"
"13","day","0.0731707317073171"
"14","season","0.0487804878048781"
"15","<>","0.0548780487804878"
"16","life","0.5"
"17","history","1"
"18","america","1"
"19","<>","0.165714285714286"
"20","and","0.108108108108108"
"21","<>","0.121621621621622"
"22","<>","0.285714285714286"
"23","of","0.162162162162162"
"24","<>","0.27906976744186"
"25","the","0.4"
"26","the","0.611111111111111"
"27","the","0.384615384615385"
"28","<>","0.230769230769231"
"29","of","0.966666666666667"
"30","the","0.7"
"31","the","0.234042553191489"
"32","thing","1"
"33","a","0.307692307692308"
"34","out","0.75"
"35","to","0.611111111111111"
"36","to","0.882352941176471"
"37","at","0.75"
"38","the","0.64"
"39","time","0.9"
"40","time","0.9"
"41","<>","0.347826086956522"
"42","the","0.261904761904762"
"43","the","0.363636363636364"
"44","<>","0.0919540229885057"
"45","<>","0.25"
"46","that","0.289473684210526"
"47","to","0.684210526315789"
"48","of","0.846153846153846"
"49","what","0.307692307692308"
"50","why","0.192307692307692"
"51","how","0.153846153846154"
"52","one","0.833333333333333"
"53","to","1"
"54","to","0.578947368421053"
"55","of","0.666666666666667"
"56","to","1"
"57","be","0.866666666666667"
"58","to","0.923076923076923"
"59","i","0.267857142857143"
"60","to","0.192307692307692"
"61","to","0.255813953488372"
"62","i","0.294117647058824"
"63","you","0.428571428571429"
"64","ever","0.727272727272727"
"65","be","0.0909090909090909"
"66","much","0.869565217391304"
"67","be","0.186046511627907"
"68","mi","0.846153846153846"
"69","see","0.194029850746269"
"70","get","0.17910447761194"
"71","the","0.4"
"72","how","0.470588235294118"
"73","a","0.684210526315789"
"74","to","0.8"
"75","a","0.177777777777778"
"76","be","0.7"
"77","a","0.181818181818182"
"78","is","0.482758620689655"
"79","morning","1"
"80","thank","0.12"
"81","of","0.296296296296296"
"82","of","0.444444444444444"
"83","the","0.478260869565217"
"84","a","0.16304347826087"
"85","the","0.344827586206897"
"86","<>","0.272727272727273"
"87","the","0.692307692307692"
"88","the","0.692307692307692"
"89","the","0.846153846153846"
"90","the","0.228571428571429"
"91","the","0.478260869565217"
"92","<>","0.132352941176471"
"93","that","0.666666666666667"
"94","in","0.235955056179775"
"95","since","0.123595505617978"
"96","this","0.050561797752809"
"97","and","0.0449438202247191"
"98","the","0.44"
"99","my","0.18"
"100","win","0.789473684210526"
"101","who","0.594594594594595"
"102","to","1"
"103","or","0.9"
"104","a","0.210084033613445"
"105","the","0.0756302521008403"
"106","most","0.175438596491228"
"107","best","0.12280701754386"
"108","<>","0.0701754385964912"
"109","favorite","0.3125"
"110","favorites","0.28125"
"111","you","0.371428571428571"
"112","is","0.48"
"113","day","0.461538461538462"
"114","mean","0.5625"
"115","the","0.294117647058824"
"116","i","0.186046511627907"
"117","a","0.2"
"118","<>","0.2"
"119","ago","0.448275862068966"
"120","ago","0.620689655172414"
"121","go","0.785714285714286"
"122","half","1"
"123","the","0.434782608695652"
"124","is","0.916666666666667"
"125","do","0.857142857142857"
"126","do","1"
"127","one","0.5"
"128","do","0.173076923076923"
"129","the","0.541666666666667"
"130","the","0.689655172413793"
"131","i","0.0813008130081301"
"132","the","0.463414634146341"
"133","<>","0.160714285714286"
"134","the","0.84"
"135","the","0.692307692307692"
"136","the","0.444444444444444"
"137","the","0.346153846153846"
"138","the","0.230769230769231"
"139","it","0.230769230769231"
"140","for","0.888888888888889"
"141","you","0.666666666666667"
"142","bong","0.888888888888889"
"143","to","0.8"
"144","time","1"
"145","the","0.672727272727273"
"146","you","0.25531914893617"
"147","the","0.138297872340426"
"148","what","0.0957446808510638"
"149","do","0.608695652173913"
"150","but","0.888888888888889"
"151","of","0.8"
"152","while","1"
"153","with","1"
"154","world","0.642857142857143"
"155","of","0.75"
"156","great","0.132075471698113"
"157","good","0.0754716981132075"
"158","to","1"
"159","at","0.195121951219512"
"160","with","0.916666666666667"
"161","all","0.714285714285714"
"162","all","0.538461538461538"
"163","with","1"
"164","you","1"
"165","great","0.363636363636364"
"166","great","0.40625"
"167","there","0.3125"
"168","soon","0.166666666666667"
"169","great","0.5"
"170","a","1"
"171","to","0.857142857142857"
"172","to","0.666666666666667"
"173","to","0.888888888888889"
"174","to","0.7"
"175","be","0.666666666666667"
"176","be","0.727272727272727"
"177","is","1"
"178","a","0.384615384615385"
"179","run","1"
"180","work","0.869565217391304"
"181","you","0.534883720930233"
"182","you","0.5"
"183","you","0.789473684210526"
"184","you","0.5"
"185","you","0.261904761904762"
"186","tweets","0.421052631578947"
"187","think","0.866666666666667"
"188","share","1"
"189","the","0.571428571428571"
"190","to","1"
"191","times","0.888888888888889"
"192","omg","0.75"
"193","of","0.740740740740741"
"194","the","0.36"
"195","the","0.533333333333333"
"196","<>","0.235294117647059"
"197","work","0.239130434782609"
"198","<>","0.153153153153153"
"199","the","0.347826086956522"
"200","release","1"
"201","rt","0.2"
"202","follow","0.2"
"203","the","0.461538461538462"
"204","follow","0.208695652173913"
"205","mention","0.104347826086957"
"206","rt","0.0869565217391304"
"207","#ff","0.0782608695652174"
"208","the","0.523809523809524"
"209","for","0.373626373626374"
"210","who","0.421052631578947"
"211","hope","0.0461538461538462"
"212","we","0.041025641025641"
"213","i","0.041025641025641"
"214","and","0.041025641025641"
"215","out","0.894736842105263"
