"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"1","List-Order",1000,0.149999999997817,1.071,0.160000000000004,0,NA,NA,1
"2","List-TopXSort",1000,0.139999999999418,1,0.119999999999997,0.0199999999999996,NA,NA,1
"3","R5-Order",1000,1.20999999999913,8.643,1.2,0,NA,NA,1
"4","R5-TopXSort",1000,1.17000000000189,8.357,1.16,0.00999999999999979,NA,NA,1
"5","S3-Order",1000,0.239999999997963,1.714,0.240000000000002,0,NA,NA,1
"6","S3-TopXSort",1000,0.25,1.786,0.25,0,NA,NA,1
"7","S4-Order",1000,0.159999999999854,1.143,0.160000000000004,0,NA,NA,1
"8","S4-TopXSort",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,1
"9","List-Order",1000,0.140000000003056,1.077,0.140000000000001,0,NA,NA,2
"10","List-TopXSort",1000,0.139999999999418,1.077,0.140000000000001,0,NA,NA,2
"11","R5-Order",1000,1.15000000000146,8.846,1.14,0,NA,NA,2
"12","R5-TopXSort",1000,1.16999999999825,9,1.18,0,NA,NA,2
"13","S3-Order",1000,0.229999999999563,1.769,0.240000000000002,0,NA,NA,2
"14","S3-TopXSort",1000,0.25,1.923,0.25,0,NA,NA,2
"15","S4-Order",1000,0.139999999999418,1.077,0.140000000000001,0,NA,NA,2
"16","S4-TopXSort",1000,0.130000000001019,1,0.119999999999997,0,NA,NA,2
"17","List-Order",1000,0.139999999999418,1.273,0.140000000000001,0,NA,NA,3
"18","List-TopXSort",1000,0.109999999996944,1,0.109999999999999,0,NA,NA,3
"19","R5-Order",1000,1.15999999999985,10.545,1.16,0,NA,NA,3
"20","R5-TopXSort",1000,1.11999999999898,10.182,1.12,0,NA,NA,3
"21","S3-Order",1000,0.329999999998108,3,0.329999999999998,0,NA,NA,3
"22","S3-TopXSort",1000,0.220000000001164,2,0.210000000000001,0,NA,NA,3
"23","S4-Order",1000,0.139999999999418,1.273,0.140000000000001,0,NA,NA,3
"24","S4-TopXSort",1000,0.110000000000582,1,0.0900000000000034,0.0200000000000014,NA,NA,3
"25","List-Order",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,4
"26","List-TopXSort",1000,0.139999999999418,1,0.119999999999997,0.00999999999999979,NA,NA,4
"27","R5-Order",1000,1.18000000000029,8.429,1.17,0,NA,NA,4
"28","R5-TopXSort",1000,1.19999999999709,8.571,1.2,0,NA,NA,4
"29","S3-Order",1000,0.229999999999563,1.643,0.240000000000002,0,NA,NA,4
"30","S3-TopXSort",1000,0.25,1.786,0.25,0,NA,NA,4
"31","S4-Order",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,4
"32","S4-TopXSort",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,4
"33","List-Order",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,5
"34","List-TopXSort",1000,0.159999999999854,1.143,0.160000000000004,0,NA,NA,5
"35","R5-Order",1000,1.14999999999782,8.214,1.15,0,NA,NA,5
"36","R5-TopXSort",1000,1.22000000000116,8.714,1.22,0,NA,NA,5
"37","S3-Order",1000,0.219999999997526,1.571,0.220000000000006,0,NA,NA,5
"38","S3-TopXSort",1000,0.25,1.786,0.25,0,NA,NA,5
"39","S4-Order",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,5
"40","S4-TopXSort",1000,0.159999999999854,1.143,0.149999999999999,0,NA,NA,5
"41","List-Order",1000,0.139999999999418,1.273,0.140000000000001,0,NA,NA,6
"42","List-TopXSort",1000,0.130000000001019,1.182,0.119999999999997,0,NA,NA,6
"43","R5-Order",1000,1.18000000000029,10.727,1.19,0,NA,NA,6
"44","R5-TopXSort",1000,1.15999999999985,10.545,1.16,0,NA,NA,6
"45","S3-Order",1000,0.25,2.273,0.25,0,NA,NA,6
"46","S3-TopXSort",1000,0.229999999999563,2.091,0.219999999999999,0.0199999999999996,NA,NA,6
"47","S4-Order",1000,0.159999999999854,1.455,0.159999999999997,0,NA,NA,6
"48","S4-TopXSort",1000,0.110000000000582,1,0.100000000000001,0,NA,NA,6
"49","List-Order",1000,0.150000000001455,1.154,0.149999999999991,0,NA,NA,7
"50","List-TopXSort",1000,0.140000000003056,1.077,0.140000000000001,0,NA,NA,7
"51","R5-Order",1000,1.13999999999942,8.769,1.14,0,NA,NA,7
"52","R5-TopXSort",1000,1.17000000000189,9,1.17,0,NA,NA,7
"53","S3-Order",1000,0.229999999999563,1.769,0.239999999999995,0,NA,NA,7
"54","S3-TopXSort",1000,0.229999999999563,1.769,0.230000000000004,0,NA,NA,7
"55","S4-Order",1000,0.140000000003056,1.077,0.140000000000001,0,NA,NA,7
"56","S4-TopXSort",1000,0.130000000001019,1,0.120000000000005,0,NA,NA,7
"57","List-Order",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,8
"58","List-TopXSort",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,8
"59","R5-Order",1000,1.17000000000189,8.357,1.17,0,NA,NA,8
"60","R5-TopXSort",1000,1.17000000000189,8.357,1.17,0,NA,NA,8
"61","S3-Order",1000,0.240000000001601,1.714,0.230000000000004,0,NA,NA,8
"62","S3-TopXSort",1000,0.229999999999563,1.643,0.239999999999995,0,NA,NA,8
"63","S4-Order",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,8
"64","S4-TopXSort",1000,0.139999999999418,1,0.140000000000001,0,NA,NA,8
"65","List-Order",1000,0.139999999999418,1.273,0.140000000000001,0,NA,NA,9
"66","List-TopXSort",1000,0.110000000000582,1,0.110000000000014,0,NA,NA,9
"67","R5-Order",1000,1.15999999999985,10.545,1.14999999999999,0,NA,NA,9
"68","R5-TopXSort",1000,1.13000000000102,10.273,1.13,0,NA,NA,9
"69","S3-Order",1000,0.25,2.273,0.25,0,NA,NA,9
"70","S3-TopXSort",1000,0.229999999999563,2.091,0.239999999999995,0,NA,NA,9
"71","S4-Order",1000,0.159999999999854,1.455,0.159999999999997,0,NA,NA,9
"72","S4-TopXSort",1000,0.129999999997381,1.182,0.13000000000001,0,NA,NA,9
"73","List-Order",1000,0.140000000003056,1.077,0.140000000000001,0,NA,NA,10
"74","List-TopXSort",1000,0.130000000001019,1,0.0999999999999943,0.00999999999999979,NA,NA,10
"75","R5-Order",1000,1.15999999999985,8.923,1.15000000000001,0,NA,NA,10
"76","R5-TopXSort",1000,1.15999999999985,8.923,1.16,0,NA,NA,10
"77","S3-Order",1000,0.25,1.923,0.25,0,NA,NA,10
"78","S3-TopXSort",1000,0.25,1.923,0.25,0,NA,NA,10
