"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"1","List-Order",1000,0.159999999999854,1.067,0.160000000000011,0,NA,NA,1
"2","List-TopXSort",1000,0.260000000000218,1.733,0.269999999999996,0,NA,NA,1
"3","S3-Order",1000,0.230000000000018,1.533,0.22999999999999,0,NA,NA,1
"4","S3-TopXSort",1000,0.579999999999927,3.867,0.569999999999993,0,NA,NA,1
"5","S4-Order",1000,0.150000000000091,1,0.159999999999997,0,NA,NA,1
"6","S4-TopXSort",1000,0.2800000000002,1.867,0.280000000000001,0,NA,NA,1
"7","List-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,2
"8","List-TopXSort",1000,0.2800000000002,2,0.280000000000001,0,NA,NA,2
"9","S3-Order",1000,0.239999999999782,1.714,0.230000000000004,0,NA,NA,2
"10","S3-TopXSort",1000,0.529999999999745,3.786,0.530000000000001,0,NA,NA,2
"11","S4-Order",1000,0.150000000000091,1.071,0.159999999999997,0,NA,NA,2
"12","S4-TopXSort",1000,0.260000000000218,1.857,0.269999999999996,0,NA,NA,2
"13","List-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,3
"14","List-TopXSort",1000,0.220000000000255,1.571,0.219999999999999,0,NA,NA,3
"15","S3-Order",1000,0.230000000000018,1.643,0.240000000000009,0,NA,NA,3
"16","S3-TopXSort",1000,0.449999999999818,3.214,0.450000000000003,0,NA,NA,3
"17","S4-Order",1000,0.160000000000309,1.143,0.159999999999997,0,NA,NA,3
"18","S4-TopXSort",1000,0.210000000000036,1.5,0.219999999999999,0,NA,NA,3
"19","List-Order",1000,0.139999999999873,1,0.140000000000001,0,NA,NA,4
"20","List-TopXSort",1000,0.299999999999727,2.143,0.290000000000006,0,NA,NA,4
"21","S3-Order",1000,0.239999999999782,1.714,0.230000000000004,0,NA,NA,4
"22","S3-TopXSort",1000,0.559999999999945,4,0.570000000000007,0,NA,NA,4
"23","S4-Order",1000,0.140000000000327,1,0.150000000000006,0,NA,NA,4
"24","S4-TopXSort",1000,0.2800000000002,2,0.279999999999987,0,NA,NA,4
"25","List-Order",1000,0.160000000000309,1.143,0.159999999999997,0,NA,NA,5
"26","List-TopXSort",1000,0.289999999999964,2.071,0.299999999999997,0,NA,NA,5
"27","S3-Order",1000,0.230000000000018,1.643,0.240000000000009,0,NA,NA,5
"28","S3-TopXSort",1000,0.590000000000146,4.214,0.590000000000003,0,NA,NA,5
"29","S4-Order",1000,0.140000000000327,1,0.140000000000015,0,NA,NA,5
"30","S4-TopXSort",1000,0.289999999999964,2.071,0.300000000000011,0,NA,NA,5
"31","List-Order",1000,0.140000000000327,1,0.150000000000006,0,NA,NA,6
"32","List-TopXSort",1000,0.25,1.786,0.25,0,NA,NA,6
"33","S3-Order",1000,0.240000000000236,1.714,0.22999999999999,0,NA,NA,6
"34","S3-TopXSort",1000,0.5,3.571,0.5,0,NA,NA,6
"35","S4-Order",1000,0.139999999999873,1,0.140000000000015,0,NA,NA,6
"36","S4-TopXSort",1000,0.25,1.786,0.25,0,NA,NA,6
"37","List-Order",1000,0.139999999999873,1,0.140000000000015,0,NA,NA,7
"38","List-TopXSort",1000,0.25,1.786,0.25,0,NA,NA,7
"39","S3-Order",1000,0.2199999999998,1.571,0.219999999999999,0,NA,NA,7
"40","S3-TopXSort",1000,0.480000000000018,3.429,0.490000000000009,0,NA,NA,7
"41","S4-Order",1000,0.139999999999873,1,0.139999999999986,0,NA,NA,7
"42","S4-TopXSort",1000,0.240000000000236,1.714,0.22999999999999,0,NA,NA,7
"43","List-Order",1000,0.140000000000327,1,0.150000000000006,0,NA,NA,8
"44","List-TopXSort",1000,0.269999999999982,1.929,0.260000000000019,0,NA,NA,8
"45","S3-Order",1000,0.239999999999782,1.714,0.22999999999999,0,NA,NA,8
"46","S3-TopXSort",1000,0.519999999999982,3.714,0.510000000000019,0,NA,NA,8
"47","S4-Order",1000,0.150000000000091,1.071,0.139999999999986,0,NA,NA,8
"48","S4-TopXSort",1000,0.25,1.786,0.25,0,NA,NA,8
"49","List-Order",1000,0.139999999999873,1,0.139999999999986,0,NA,NA,9
"50","List-TopXSort",1000,0.230000000000018,1.643,0.22999999999999,0,NA,NA,9
"51","S3-Order",1000,0.230000000000018,1.643,0.239999999999981,0,NA,NA,9
"52","S3-TopXSort",1000,0.490000000000236,3.5,0.47999999999999,0,NA,NA,9
"53","S4-Order",1000,0.139999999999873,1,0.140000000000015,0,NA,NA,9
"54","S4-TopXSort",1000,0.220000000000255,1.571,0.219999999999999,0,NA,NA,9
"55","List-Order",1000,0.140000000000327,1,0.150000000000006,0,NA,NA,10
"56","List-TopXSort",1000,0.2800000000002,2,0.280000000000001,0,NA,NA,10
"57","S3-Order",1000,0.239999999999782,1.714,0.240000000000009,0,NA,NA,10
"58","S3-TopXSort",1000,0.529999999999745,3.786,0.510000000000019,0.0199999999999996,NA,NA,10
"59","S4-Order",1000,0.150000000000091,1.071,0.140000000000015,0,NA,NA,10
"60","S4-TopXSort",1000,0.25,1.786,0.25,0,NA,NA,10
