"","test","mean"
"1","List-Order",0.145999999999913
"2","List-TopXSort",0.245999999999958
"3","S3-Order",0.232000000000062
"4","S3-TopXSort",0.494000000000051
"5","S4-Order",0.14399999999996
"6","S4-TopXSort",0.233000000000038
