"","test","mean"
"1","List-Order",0.140999999999985
"2","List-TopXSort",0.244000000000051
"3","S3-Order",0.23100000000004
"4","S3-TopXSort",0.487999999999874
"5","S4-Order",0.142999999999938
"6","S4-TopXSort",0.232999999999993
